t,Euler y(t),Runge-Kutta y(t)
0.2,1.18,1.19494
0.4,1.38815,1.42189
0.6,1.62724,1.68369
0.8,1.89973,1.98256
1,2.2075,2.31968
1.2,2.55154,2.69486
1.4,2.93164,3.10618
1.6,3.34608,3.54977
1.8,3.79137,4.01978
2,4.26215,4.50851
2.2,4.75126,5.00692
2.4,5.25003,5.50519
2.6,5.74878,5.99352
2.8,6.23756,6.46289
3,6.70693,6.90566
3.2,7.14866,7.31602
3.4,7.55632,7.69016
3.6,7.92563,8.02622
3.8,8.25444,8.32404
4,8.54261,8.58485
4.2,8.79161,8.81087
4.4,9.00409,9.00497
4.6,9.18343,9.17037
4.8,9.33341,9.31039
5,9.45784,9.42824
5.2,9.56039,9.52698
5.4,9.64445,9.60938
5.6,9.71303,9.6779
5.8,9.76878,9.73474
6,9.81395,9.78177
6.2,9.85047,9.82062
6.4,9.87993,9.85266
6.6,9.90366,9.87904
6.8,9.92274,9.90075
7,9.93807,9.91859
7.2,9.95038,9.93325
7.4,9.96026,9.94529
7.6,9.96817,9.95516
7.8,9.97452,9.96326
8,9.9796,9.9699
8.2,9.98367,9.97534
8.4,9.98693,9.9798
8.6,9.98954,9.98346
8.8,9.99163,9.98645
9,9.9933,9.9889
9.2,9.99464,9.99091
9.4,9.99571,9.99256
9.6,9.99657,9.99391
9.8,9.99726,9.99501
10,9.9978,9.99592
