k,x0,|x_k - x_k-1|
0              2.0000000000    
1              -0.9459101491  2.9459101491
2              -0.3997262113  0.5461839377
3              -0.5261158210  0.1263896097
4              -0.4982569752  0.0278588458
5              -0.5044646606  0.0062076855
6              -0.5030847575  0.0013799032
7              -0.5033916601  0.0003069026
8              -0.5033234104  0.0000682497
9              -0.5033385883  0.0000151779
10             -0.5033352129  0.0000033754
11             -0.5033359636  0.0000007506
12             -0.5033357966  0.0000001669
13             -0.5033358337  0.0000000371
14             -0.5033358255  0.0000000083
